timestamp,Cd/Cp,Sd/Sp,C0/Sd,S0/Cd,Cd/Pd,Sd/Pd,Cf/Cd,Sf/Sd,Ca1/Cd,Ca2/Cd,Ca4/Cd,Sa2/Sd,Sa4/Sd,tag
1,0.0015,0.9995,0.4138,0.75,0.0006,0.9994,1,0.0074,0,0,0,0,0.9993,0
1,0.0012,0.9981,0.532,3,0.0006,0.9994,1,0.0064,0,0,0,0,0.9994,0
1,0.0013,0.9981,0.5022,3,0.0006,0.9994,1,0.007,0,0,0,0,0.9994,0
1,0.0018,0.9975,0.6814,2,0.0012,0.9988,1,0.0086,0,0,0,0,1,0
1,0.0008,0.9987,0.6227,2.6667,0.0005,0.9995,1,0.0041,0,0,0,0,0.9995,0
1,0.0015,0.9974,0.4389,4,0.0006,0.9994,1,0.0077,0,0,0,0,0.9994,0
1,0.0014,0.9984,0.4455,2.5,0.0006,0.9994,1,0.0086,0,0,0,0,0.9994,0
1,0.0011,0.9987,0.5854,2,0.0006,0.9994,1,0.0045,0,0,0,0,0.9994,0
1,0.0017,0.9994,0.4183,0.8,0.0007,0.9993,1,0.007,0,0,0,0.0003,0.9991,0
1,0.0019,0.9991,0.4451,1,0.0009,0.9991,1,0.0081,0,0,0,0,0.9991,0
1,0.0016,0.9974,0.4033,4,0.0006,0.9994,1,0.0064,0,0,0,0,0.9994,0
1,0.0012,0.9981,0.5195,3,0.0006,0.9994,1,0.0077,0,0,0,0,0.9994,0
1,0.0009,0.9974,0.6906,4,0.0006,0.9994,1,0.0064,0,0,0,0,0.9994,0
1,0.001,0.9979,0.6626,3,0.0007,0.9993,1,0.0069,0,0,0,0,0.9993,0
1,0.0015,0.9994,0.4857,0.7647,0.0007,0.9993,1,0.0084,0,0,0,0,0.9993,0
1,0.0012,0.9974,0.5173,4,0.0006,0.9994,1,0.0058,0,0,0,0,0.9994,0
1,0.0011,0.9989,0.5792,1.6667,0.0006,0.9994,1,0.0028,0,0,0,0.0002,0.9987,0
1,0.0017,0.9981,0.5514,2,0.0009,0.9991,1,0.0066,0,0,0,0,1,0
1,0.0015,0.9993,0.4341,1.0667,0.0007,0.9993,1,0.0062,0,0,0,0.0007,0.9987,0
1,0.0012,0.9981,0.5438,3,0.0006,0.9994,1,0.0096,0,0,0,0,0.9994,0
1,0.0013,0.9975,0.4974,4,0.0006,0.9994,1,0.0051,0,0,0,0,0.9994,0
1,0.0014,0.9995,0.4606,0.75,0.0006,0.9994,1,0.008,0,0,0,0,0.9994,0
1,0.0013,0.999,0.4891,1.5,0.0006,0.9994,1,0.0074,0,0,0,0,0.9994,0
1,0.0014,0.9996,0.4513,0.6667,0.0006,0.9994,1,0.0071,0,0,0,0,0.9993,0
1,0.0013,0.9974,0.4834,4,0.0006,0.9994,1,0.0051,0,0,0,0,0.9994,0
1,0.0014,0.9984,0.461,2.5,0.0006,0.9994,1,0.008,0,0,0,0,0.9994,0
1,0.0012,0.9981,0.552,3,0.0006,0.9994,1,0.0096,0,0,0,0,0.9994,0
1,0.0011,0.9981,0.581,3,0.0006,0.9994,1,0.007,0,0,0,0,0.9994,0
1,0.0014,0.9981,0.4648,3,0.0006,0.9994,1,0.009,0,0,0,0,0.9994,0
1,0.0007,0.9981,0.8563,3,0.0006,0.9994,1,0.007,0,0,0,0,0.9994,0
1,0.001,0.9981,0.6034,3,0.0006,0.9994,1,0.0087,0,0,0,0,0.9994,0
1,0.0012,0.9993,0.4744,1.1538,0.0006,0.9994,1,0.0047,0,0,0,0,0.9994,0
1,0.002,0.9992,0.4133,1,0.0008,0.9992,1,0.0071,0,0,0,0,0.9995,0
1,0.0019,0.9993,0.4422,0.8462,0.0008,0.9992,1,0.0071,0,0,0,0,0.9994,0
1,0.0013,0.999,0.5054,1.5,0.0006,0.9994,1,0.0092,0,0,0,0,0.9994,0
1,0.0015,0.9993,0.4808,1,0.0007,0.9993,1,0.0067,0,0,0,0,0.9995,0
1,0.0012,1,0.565,0,0.0007,0.9993,1,0.0052,0,0,0,0,0.9993,0
1,0.001,0.9997,0.6414,0.4118,0.0006,0.9994,1,0.0052,0,0,0,0,0.9993,0
1,0.0011,0.9975,0.5782,4,0.0006,0.9994,1,0.0083,0,0,0,0,0.9994,0
1,0.002,0.9981,0.4819,2,0.001,0.999,1,0.0061,0,0,0,0,0.999,0
1,0.0012,0.9968,0.5262,5,0.0006,0.9994,1,0.0077,0,0,0,0,0.9994,0
1,0.0014,0.9974,0.6319,3,0.0009,0.9991,1,0.0087,0,0,0,0.0009,0.9991,0
1,0.0009,0.9981,0.6893,3,0.0006,0.9994,1,0.007,0,0,0,0,0.9987,0
1,0.0022,0.9974,0.5869,2,0.0013,0.9987,1,0.0078,0,0,0,0,1,0
1,0.0015,0.9993,0.4322,1.0588,0.0007,0.9993,1,0.0049,0,0,0,0,0.9993,0
1,0.0024,0.9949,0.53,4,0.0013,0.9987,1,0.0115,0,0,0,0.0013,0.9962,0
1,0.0037,0.9983,0.435,1.04,0.0016,0.9984,1,0.0091,0,0,0,0.0015,0.9967,0
1,0.0015,0.9992,0.4889,1.0588,0.0007,0.9993,1,0.008,0,0,0,0,0.9993,0
1,0.0016,0.9996,0.5392,0.5,0.0009,0.9991,1,0.0047,0,0,0,0,0.9996,0
1,0.0017,0.9992,0.4172,1.1176,0.0007,0.9993,1,0.0065,0,0,0,0.0006,0.9986,0
1,0.0011,0.9962,0.5972,6,0.0006,0.9994,1,0.0083,0,0,0,0,0.9994,0
1,0.0014,0.9984,0.4626,2.5,0.0006,0.9994,1,0.0051,0,0,0,0,0.9994,0
1,0.0013,0.999,0.4979,1.5,0.0006,0.9994,1,0.007,0,0,0,0,0.9994,0
1,0.0011,0.9981,0.6036,3,0.0006,0.9994,1,0.009,0,0,0,0,0.9994,0
1,0.0021,0.9987,0.4225,1.5,0.0009,0.9991,1,0.0088,0,0,0,0,0.9996,0
1,0.0011,0.9991,0.4316,2,0.0005,0.9995,1,0.007,0,0,0,0,0.9995,0
1,0.0013,0.9993,0.5679,0.9444,0.0007,0.9993,1,0.0034,0,0,0,0,0.9993,0
1,0.0019,0.9991,0.4516,1,0.0009,0.9991,1,0.0081,0,0,0,0,0.9989,0
1,0.0012,0.9962,0.5131,6,0.0006,0.9994,1,0.0083,0,0,0,0,0.9994,0
1,0.0012,0.9974,0.5346,4,0.0006,0.9994,1,0.007,0,0,0,0,0.9994,0
1,0.0009,0.9981,0.711,3,0.0006,0.9994,1,0.0083,0,0,0,0,0.9987,0
1,0.0011,0.9981,0.6008,3,0.0006,0.9994,1,0.007,0,0,0,0,0.9994,0
1,0.0012,0.9981,0.5257,3,0.0006,0.9994,1,0.0095,0,0,0,0,0.9994,0
1,0.0013,0.9981,0.4968,3,0.0006,0.9994,1,0.0102,0,0,0,0,0.9994,0
1,0.0005,0.999,0.7074,3,0.0003,0.9997,1,0.0042,0,0,0,0,0.9997,0
1,0.0015,0.9996,0.4516,0.5294,0.0007,0.9993,1,0.0072,0,0,0,0,0.9993,0
1,0.002,0.9992,0.399,1,0.0008,0.9992,1,0.0079,0,0,0,0,0.9994,0
1,0.0013,0.999,0.5103,1.5,0.0007,0.9993,1,0.0086,0,0,0,0.0007,0.999,0
1,0.0012,0.9981,0.541,3,0.0006,0.9994,1,0.0083,0,0,0,0.0006,0.9987,0
1,0.0009,0.9988,0.6585,2,0.0006,0.9994,1,0.0031,0,0,0,0.0006,0.9988,0
1,0.001,0.9984,0.626,2.5,0.0006,0.9994,1,0.0064,0,0,0,0.0006,0.9987,0
1,0.0018,0.9989,0.4672,1.25,0.0009,0.9991,1,0.0075,0,0,0,0,0.9991,0
1,0.0017,0.9992,0.4426,1,0.0008,0.9992,1,0.0058,0,0,0,0,0.9993,0
1,0.0011,0.9975,0.606,4,0.0006,0.9994,1,0.007,0,0,0,0,0.9994,0
1,0.0011,0.9975,0.5948,4,0.0006,0.9994,1,0.0064,0,0,0,0,0.9994,0
1,0.0011,0.9968,0.5595,5,0.0006,0.9994,1,0.0064,0,0,0,0,0.9994,0
1,0.0019,0.9973,0.7107,2,0.0014,0.9986,1,0.0028,0,0,0,0,1,0
1,0.0015,0.999,0.5007,1.3333,0.0007,0.9993,1,0.005,0,0,0,0.0002,0.9993,0
1,0.0012,0.9981,0.5274,3,0.0006,0.9994,1,0.0083,0,0,0,0,0.9994,0
1,0.0008,0.9981,0.7866,3,0.0006,0.9994,1,0.0038,0,0,0,0,0.9994,0
1,0.0018,0.9996,0.4428,0.55,0.0008,0.9992,1,0.0069,0,0,0,0,0.9994,0
1,0.002,0.9994,0.4343,0.6667,0.0009,0.9991,1,0.0077,0,0,0,0,0.9993,0
1,0.0008,0.9975,0.7637,4,0.0006,0.9994,1,0.0063,0,0,0,0,0.9987,0
1,0.0011,0.9974,0.5573,4,0.0006,0.9994,1,0.0102,0,0,0,0,0.9994,0
1,0.0012,0.999,0.5425,1.5,0.0006,0.9994,1,0.0061,0,0,0,0,0.999,0
1,0.0012,0.9981,0.5485,3,0.0006,0.9994,1,0.0057,0,0,0,0,0.9994,0
1,0.0018,0.9993,0.4171,1,0.0007,0.9993,1,0.0061,0,0,0,0,0.9993,0
